year,month,day,tow,lon,lat,start,comment,male,female,total_crabs,Atlantic_cod,American_plaice,Yellowtail_flounder,winter_flounder,thorny_skate,smooth_skate,longhorn_sculpin,sea_potato,Hyas_coarctatus,female_percentage,Simpson_index
2019,2019,12,GP354F,-60.3894,47.38342,05:12:29,Variable 2 a 2.4 noeuds,0,0,0,27,0,0,0,1,0,0,0,11,NA,0.4404996712689021
2019,2019,12,GP351F,-60.4655,47.43065,06:55:00,Stable ~ 2.1 kts,64,1,65,6,113,0,0,16,2,0,0,0,0.015384615384615385,0.5762670326438584
2019,2019,12,GP353FR,-60.4038,47.52278,09:50:55,Force a cause de vase ~ 2.1 kts,0,0,0,0,0,0,0,1,4,0,0,0,NA,0.31999999999999984
2019,2019,12,GP352F,-60.4394,47.55585,11:10:07,Stable ~ 2.1 kts,18,0,18,1,0,0,0,1,5,0,0,0,0,0.4384
2019,2019,12,GP350F,-60.4835,47.51007,12:32:42,Stable ~ 2.2 kts,0,0,0,10,3,0,0,27,5,0,0,0,NA,0.5738271604938272
2019,2019,12,GP346F,-60.6098,47.4811,13:56:23,Variable 2 a 2.4 noeuds,31,98,129,2,97,1,0,13,0,0,1,0,0.7596899224806202,0.5558773222239157
2019,2019,12,GP342F,-60.6932,47.56932,15:07:20,Stable ~ 2.2 kts,208,10,218,0,88,0,0,1,0,0,0,3,0.045871559633027525,0.424786680541103
2019,2019,12,GP323F,-61.0044,47.62625,19:48:54,Stable ~ 2.1 kts,19,5,24,4,12,123,0,1,0,3,0,0,0.20833333333333334,0.4307791602423895
2019,2019,13,GP334A3,-60.8439,47.55893,09:08:09,Stable ~ 2.1 kts,7,0,7,3,19,0,0,0,0,0,0,42,0,0.5669510017853601
2019,2019,13,GP344F,-60.6762,47.74118,11:23:02,Stable ~ 2.2 kts,20,6,26,13,22,0,0,9,0,0,1,3,0.23076923076923078,0.7406866325785244
2019,2019,13,GP341F,-60.6904,47.81593,14:06:10,Accroche et force ~ 2.1 kts,0,0,0,0,1,0,0,2,1,0,0,0,NA,0.625
2019,2019,13,GP335F,-60.8326,47.76965,15:43:25,Stable ~ 2.2 kts,28,126,154,0,78,0,0,2,0,0,1,4,0.8181818181818182,0.47793280929955706
2019,2019,13,GP331F,-60.9001,47.83212,16:42:53,Stable ~ 2.2 kts,41,92,133,2,81,0,0,0,0,0,0,0,0.6917293233082706,0.4801526063100138
2019,2019,13,GP325F,-60.9526,47.78293,17:45:21,Stable ~ 2.2 kts,264,102,366,0,15,0,0,0,0,0,0,0,0.2786885245901639,0.07564015128030266
2019,2019,13,GP326F,-60.9775,47.82098,18:58:58,Stable ~ 2.2 kts,257,51,308,0,35,0,0,0,0,0,0,0,0.16558441558441558,0.18325697625989168
2019,2019,13,GP315F,-61.0899,47.84345,20:03:32,Stable ~ 2.1 kts,250,14,264,0,34,0,0,0,0,0,0,173,0.05303030303030303,0.5457061589156198
2019,2019,14,GP324F,-60.9653,47.91402,05:20:39,Stable ~ 2.1 kts,18,77,95,0,181,0,0,7,0,0,0,4,0.8105263157894737,0.49190836358338696
2019,2019,14,GP313F,-61.1052,47.96787,06:42:21,Stable ~ 2.2 kts,18,130,148,0,38,0,0,1,0,0,0,1,0.8783783783783784,0.3393503847894974
2019,2019,14,GP320F,-61.0192,48.03373,08:10:12,Variable 2 a 2.4 noeuds,66,1,67,0,0,0,0,1,5,0,0,0,0.014925373134328358,0.15274910865077884
2019,2019,14,GP312F,-61.1134,48.0789,09:53:01,Force a cause de vase ~ 2.2 kts,2,0,2,0,0,0,0,0,2,0,0,0,0,0.5
2019,2019,14,GP316F,-61.2399,48.19428,11:50:00,Force a cause de vase ~ 2.2 kts,0,0,0,1,0,0,0,2,2,0,0,0,NA,0.6399999999999999
2019,2019,14,GP295F,-61.4024,48.09492,14:07:21,Stable ~ 2.2 kts,60,13,73,4,69,0,0,13,0,0,0,0,0.1780821917808219,0.5935682923934971
2019,2019,14,GP293F,-61.4303,48.21898,15:42:30,Force a cause de vase ~ 2.2 kts,1,1,2,0,0,0,0,1,0,0,0,0,0.5,0.4444444444444444
2019,2019,14,GP282F,-61.6101,48.22563,17:40:38,Stable ~ 2.1 kts,1,0,1,1,0,0,0,0,0,0,0,0,0,0.5
2019,2019,14,GP273F,-61.7098,48.113,19:56:26,Stable ~ 2.1 kts,161,90,251,0,116,0,0,4,0,0,0,0,0.35856573705179284,0.44440246728808996
2019,2019,15,GP269F,-61.7815,48.28447,05:26:49,Force a cause de vase ~ 2.2 kts,0,0,0,0,0,0,0,1,1,0,0,0,NA,0.5
2019,2019,15,GP260F,-61.8845,48.23652,07:28:22,Force a cause de vase ~ 2.2 kts,5,2,7,0,5,0,0,49,14,0,0,0,0.2857142857142857,0.5251555555555556
2019,2019,15,GP250F,-61.9446,48.28463,08:57:42,Force a cause de vase ~ 2.2 kts,2,1,3,0,6,0,0,1,2,0,0,0,0.3333333333333333,0.6527777777777778
